paramter,respy_loc,true,sd
alpha10,"('wage_a', 'constant')",8.00,0.00075
alpha11,"('wage_a', 'exp_edu')",0.070,0.00012
alpha12,"('wage_a', 'exp_a')",0.055,0.000097
alpha13,"('wage_a', 'exp_a_square')",0.0,0.000011
alpha14,"('wage_a', 'exp_b')",0.0,0.00083
alpha15,"('wage_a', 'exp_b_square')",0.0,0.00031
alpha20,"('wage_b', 'constant')",7.90,0.00076
alpha21,"('wage_b', 'exp_edu')",0.07,0.00016
alpha22,"('wage_b', 'exp_b')",0.06,0.00027
alpha23,"('wage_b', 'exp_b_square')",0.0,0.000082
alpha24,"('wage_b', 'exp_a')",0.55,0.000077
alpha25,"('wage_b', 'exp_a_square')",0.0,0.000015
beta0,"('non_pec_edu', 'constant')",5000,381
beta1,"('non_pec_edu', 'at_least_twelve_exp_edu')",5000,695
beta2,"('non_pec_edu', 'not_edu_last_period')",20000,962
gamma0,"('non_pec_home', 'constant')",21500,19.2
a11,None,1.0,0.00082
a21,None,0.5,0.0016
a22,None,0.866,0.0013
a31,None,0.0,0.465
a32,None,0.0,0.927
a33,None,7000,426
a41,None,0.0,0.346
a42,None,0.0,0.604
a43,None,-4250,735
a44,None,7361,695
