paramter,respy_loc,true,sd
alpha10,"('wage_a', 'constant')",9.21,0.0019
alpha11,"('wage_a', 'exp_edu')",0.4,0.00019
alpha12,"('wage_a', 'exp_a')",0.33,0.00015
alpha13,"('wage_a', 'exp_a_square')",0.0005,0.000014
alpha14,"('wage_a', 'exp_b')",0,0.00033
alpha15,"('wage_a', 'exp_b_square')",0,0.000044
alpha20,"('wage_b', 'constant')",8.2,0.0021
alpha21,"('wage_b', 'exp_edu')",0.08,0.0002
alpha22,"('wage_b', 'exp_b')",0.067,0.00017
alpha23,"('wage_b', 'exp_b_square')",0.001,0.00003
alpha24,"('wage_b', 'exp_a')",0.022,0.00015
alpha25,"('wage_b', 'exp_a_square')",0.0005,0.0000251
beta0,"('non_pec_edu', 'constant')",5000,610
beta1,"('non_pec_edu', 'at_least_twelve_exp_edu')",5000,732
beta2,"('non_pec_edu', 'not_edu_last_period')",15000,1064
gamma0,"('non_pec_home', 'constant')",14500,493
a11,None,0.4,0.0044
a21,None,0,0.021
a22,None,0.5,0.0044
a31,None,0,0.778
a32,None,0,0.982
a33,None,6000,541
a41,None,0,0.699
a42,None,0,0.903
a43,None,0,1.26
a44,None,6000,660
