paramter;sd
alpha10;0.0016
alpha11;0.00016
alpha12;0.00014
alpha13;0.000011
alpha14;0.0011
alpha15;0.000058
alpha20;0.0019
alpha21;0.000095
alpha22;0.00014
alpha23;0.000008
alpha24;0.0004
alpha25;0.000041
beta0;100
beta1;145
beta2;317
gamma0;159
a11;0.003
a21;0.016
a22;0.0044
a31;0.261
a32;0.224
a33;218
a41;0.123
a42;0.406
a43;-0.588
a44;360
